Date,Time,TimeStamp,Total_load,LFS,LFW,Load_res
2017-01-12,02:59:59,,9.3423175,0,0.607531707,1147.56768
2017-01-12,03:59:59,,9.3871775,0,0.61677869,1160.4936
2017-01-12,04:59:59,,9.8186675,0,0.610268957,1256.34936
2017-01-12,05:59:59,,10.9041275,0,0.579308841,1695.46608
2017-01-12,06:59:59,,11.874315,0,0.5666948,2270.92152
2017-01-12,07:59:59,,12.2274575,0.000167639,0.558610543,2410.45392
2017-01-12,08:59:59,,12.2765525,0.026347205,0.55702582,2337.63096
2017-01-12,09:59:59,,12.34903,0.076387337,0.544226915,2295.10344
2017-01-12,10:59:59,,12.39903,0.126696706,0.49172833,2437.5372
2017-01-12,11:59:59,,12.1924575,0.159158488,0.402818079,2357.922
2017-01-12,12:59:59,,12.216485,0.104754672,0.404666711,2167.18992
2017-01-12,13:59:59,,12.16552,0.04861859,0.424909863,2089.21608
2017-01-12,14:59:59,,12.339315,0.015074777,0.321162113,2150.79648
2017-01-12,15:59:59,,12.45254,0.001133677,0.320574376,2394.86688
2017-01-12,16:59:59,,13.0124125,3.64E-05,0.423824908,3214.23312
2017-01-12,17:59:59,,12.904995,0,0.548692954,3457.7088
2017-01-12,18:59:59,,12.27612,0,0.476355366,3332.07672
2017-01-12,19:59:59,,11.85041,0,0.369412671,3084.13896
2017-01-12,20:59:59,,11.3028075,0,0.408117915,2826.43536
2017-01-12,21:59:59,,11.490945,0,0.680784687,2550.94224
2017-01-12,22:59:59,,11.483095,0,0.660963532,2026.1472
2017-01-13,00:00:00,,10.9131775,0,0.66981529,1567.4064
2017-01-13,00:59:59,,10.4876825,0,0.670487172,1341.04656
2017-01-13,01:59:59,,10.241025,0,0.677562968,1239.504
2017-01-13,02:59:59,,10.061855,0,0.697903014,1148.58072
2017-01-13,03:59:59,,10.0665525,0,0.689586723,1161.75192
2017-01-13,04:59:59,,10.407,0,0.678083135,1253.79744
2017-01-13,05:59:59,,11.512825,0,0.65179687,1683.44736
2017-01-13,06:59:59,,12.358585,0,0.600517107,2265.12216
2017-01-13,07:59:59,,12.73871,5.5E-05,0.584524532,2430.56688
2017-01-13,08:59:59,,12.8177925,0.013859821,0.594160365,2386.19472
2017-01-13,09:59:59,,12.81394,0.074342653,0.583211366,2337.84432
2017-01-13,10:59:59,,12.80817,0.165845407,0.56951237,2461.78128
2017-01-13,11:59:59,,12.5929925,0.17196591,0.587663381,2392.48296
2017-01-13,12:59:59,,12.537485,0.126143837,0.591143908,2216.22744
2017-01-13,13:59:59,,12.495535,0.061432785,0.588537975,2148.9048
2017-01-13,14:59:59,,12.4982075,0.021107228,0.559184257,2206.85304
2017-01-13,15:59:59,,12.4716875,0.002635652,0.543635353,2423.862
2017-01-13,16:59:59,,12.884875,2.54E-06,0.578373051,3174.9312
2017-01-13,17:59:59,,12.7636775,0,0.634542126,3398.35272
2017-01-13,18:59:59,,12.240905,0,0.692234728,3250.53624
2017-01-13,19:59:59,,11.6959775,0,0.74134203,2999.11416
2017-01-13,20:59:59,,11.1251975,0,0.733190202,2753.54688
2017-01-13,21:59:59,,11.1809225,0,0.710829411,2517.84456
2017-01-13,22:59:59,,11.1964375,0,0.692400467,2064.07824
2017-01-14,00:00:00,,10.7249975,0,0.672788399,1695.86592
2017-01-14,00:59:59,,10.256625,0,0.660575957,1448.38512
2017-01-14,01:59:59,,9.834925,0,0.655870234,1305.20712
2017-01-14,02:59:59,,9.5319725,0,0.625919854,1186.5168
2017-01-14,03:59:59,,9.3977375,0,0.594188413,1161.40752
2017-01-14,04:59:59,,9.462465,0,0.554581801,1169.58576
2017-01-14,05:59:59,,9.728925,0,0.472738423,1318.47408
2017-01-14,06:59:59,,10.07117,0,0.437475458,1722.36792
2017-01-14,07:59:59,,10.820465,0.000175259,0.433756521,2392.47624
2017-01-14,08:59:59,,11.2297475,0.026335352,0.450028303,2763.7176
2017-01-14,09:59:59,,11.6079825,0.079852715,0.447359899,2874.48504
2017-01-14,10:59:59,,11.61804,0.151630836,0.397954266,3065.09112
2017-01-14,11:59:59,,11.528355,0.157003739,0.460793713,3100.29888
2017-01-14,12:59:59,,11.424005,0.139074025,0.474864986,2912.39256
2017-01-14,13:59:59,,11.2874325,0.082077737,0.469359889,2749.40736
2017-01-14,14:59:59,,11.3019075,0.059798732,0.506505908,2714.83632
2017-01-14,15:59:59,,11.29565,0.01437713,0.470479267,2762.85912
2017-01-14,16:59:59,,11.9712925,1.1E-05,0.469226023,3376.3044
2017-01-14,17:59:59,,12.2152525,0,0.411808803,3567.3288
2017-01-14,18:59:59,,11.81459,0,0.417317725,3351.35304
2017-01-14,19:59:59,,11.1731475,0,0.431483342,3093.17064
2017-01-14,20:59:59,,10.751785,0,0.371215405,2775.81528
2017-01-14,21:59:59,,10.8575775,0,0.355735348,2462.73888
2017-01-14,22:59:59,,11.070035,0,0.372018604,2051.75544
2017-01-15,00:00:00,,10.64761,0,0.383485219,1704.90432
2017-01-15,00:59:59,,10.215695,0,0.300605331,1463.37576
2017-01-15,01:59:59,,9.8852375,0,0.336640896,1321.44264
2017-01-15,02:59:59,,9.5699275,0,0.318825188,1194.77568
2017-01-15,03:59:59,,9.3716525,0,0.26278998,1161.21432
2017-01-15,04:59:59,,9.27241,0,0.187182227,1149.13344
2017-01-15,05:59:59,,9.3977525,0,0.16911791,1263.1248
