T,P,DOY,W,Load,LFW,LFS,N,Y
9,15,216,11.0,9.34915,0.498818807,0.211787705,1,1
10,15,216,11.0,9.6230975,0.519529742,0.280008162,1,1
11,15,216,11.0,9.867615,0.536902481,0.366165106,1,1
12,15,216,11.0,10.025275,0.525764668,0.379707428,1,1
13,15,216,11.0,9.7986325,0.525463362,0.421141264,1,1
14,15,216,11.0,9.6297375,0.530906884,0.447942278,1,1
15,15,216,11.0,9.351895,0.566261646,0.427842576,1,1
16,15,216,11.0,9.2414225,0.543883042,0.356907728,1,1
17,15,216,11.0,9.166455,0.502956035,0.280769309,1,1
18,15,216,11.0,9.24851,0.481816979,0.215640854,1,1
19,15,216,11.0,9.1502875,0.396149927,0.117838952,1,1
20,15,216,11.0,8.8292775,0.353726882,0.030888688,1,1
21,15,216,11.0,8.661595,0.360246903,0.00123443,1,1
22,15,216,11.0,8.60291,0.337324804,0.0,1,1
23,15,216,11.0,8.8143725,0.287175563,0.0,1,1
24,15,216,11.0,8.4366875,0.210274974,0.0,1,1
1,16,223,6.0,8.3379675,0.070780084,0.0,1,1
2,16,223,6.0,7.98139,0.061454871,0.0,1,1
3,16,223,6.0,7.73203,0.044304297,0.0,1,1
4,16,223,6.0,7.627915,0.029952241,0.0,1,1
5,16,223,6.0,7.674015,0.024728024,0.0,1,1
6,16,223,6.0,8.0097325,0.02651202,0.001568861,1,1
7,16,223,6.0,8.611165,0.028194944,0.034456512,1,1
8,16,223,6.0,9.2771575,0.02984831,0.095060418,1,1
9,16,223,6.0,9.936255,0.025325867,0.180068444,1,1
10,16,223,6.0,10.3593075,0.031843028,0.308323004,1,1
11,16,223,6.0,10.5026075,0.037762345,0.439089604,1,1
12,16,223,6.0,10.644905,0.028745112,0.401189727,1,1
13,16,223,6.0,10.3713625,0.027370168,0.456023646,1,1
14,16,223,6.0,10.36995,0.040203301,0.48494639,1,1
15,16,223,6.0,10.0942175,0.062380717,0.528176837,1,1
16,16,223,6.0,10.0271275,0.115358035,0.428955933,1,1
17,16,223,6.0,9.83177,0.132216838,0.330726468,1,1
18,16,223,6.0,9.8042875,0.218703898,0.201590535,1,1
19,16,223,6.0,9.66571,0.365251815,0.086200124,1,1
20,16,223,6.0,9.362795,0.417185052,0.01713216,1,1
21,16,223,6.0,9.1191675,0.466700217,7.03e-5,1,1
22,16,223,6.0,9.18563,0.478422525,0.0,1,1
23,16,223,6.0,9.12513,0.473759918,0.0,1,1
24,16,223,6.0,8.66401,0.392629611,0.0,1,1
1,17,224,10.0,8.1401375,0.353629625,0.0,1,1
2,17,224,10.0,7.7780325,0.373170618,0.0,1,1
3,17,224,10.0,7.560135,0.331271044,0.0,1,1
4,17,224,10.0,7.4302325,0.362773673,0.0,1,1
5,17,224,10.0,7.36912,0.314194844,0.0,1,1
6,17,224,10.0,7.3431975,0.290238199,0.000187958,1,1
7,17,224,10.0,7.4003025,0.310382757,0.00949021,1,1
8,17,224,10.0,7.73981,0.31932085,0.038836283,1,1
9,17,224,10.0,8.394145,0.342618627,0.077741993,1,1
10,17,224,10.0,8.8965325,0.343423379,0.132962835,1,1
11,17,224,10.0,9.247425,0.290709227,0.200824308,1,1
12,17,224,10.0,9.48029,0.265918272,0.244514491,1,1
13,17,224,10.0,9.45668,0.253066069,0.240196526,1,1
14,17,224,10.0,9.2418125,0.246052136,0.207284322,1,1
15,17,224,10.0,9.049115,0.225039894,0.2450445,1,1
16,17,224,10.0,8.9508725,0.244648587,0.225528146,1,1
17,17,224,10.0,8.8013775,0.249808919,0.182685469,1,1
18,17,224,10.0,8.8723,0.226362397,0.120444124,1,1
19,17,224,10.0,8.92131,0.188098511,0.066286686,1,1
20,17,224,10.0,8.7853375,0.163030088,0.016845143,1,1
21,17,224,10.0,8.545735,0.113952578,8.97e-5,1,1
22,17,224,10.0,8.486,0.128521078,0.0,1,1
23,17,224,10.0,8.50367,0.120226597,0.0,1,1
24,17,224,10.0,8.1454725,0.113347107,0.0,1,1
1,18,238,17.0,8.5815125,0.031252813,0.0,1,1
2,18,238,17.0,8.232935,0.028030942,0.0,1,1
3,18,238,17.0,7.9540925,0.016916013,0.0,1,1
4,18,238,17.0,7.85794,0.011263675,0.0,1,1
5,18,238,17.0,7.70889,0.009643682,0.0,1,1
6,18,238,17.0,7.6176025,0.012818831,0.0,1,1
7,18,238,17.0,7.904875,0.011576422,0.019775432,1,1
8,18,238,17.0,8.311195,0.01514346,0.082268236,1,1
9,18,238,17.0,8.84754,0.014446452,0.176659792,1,1
10,18,238,17.0,9.29183,0.012045544,0.316240966,1,1
11,18,238,17.0,9.54364,0.017984884,0.427728276,1,1
12,18,238,17.0,9.723225,0.029389677,0.510079484,1,1
13,18,238,17.0,9.701745,0.035711371,0.568975677,1,1
14,18,238,17.0,9.540685,0.034347869,0.502313075,1,1
15,18,238,17.0,9.22793,0.026986862,0.455897493,1,1
16,18,238,17.0,9.1544775,0.030411827,0.369231707,1,1
17,18,238,17.0,9.1126175,0.032016565,0.272856427,1,1
18,18,238,17.0,9.111265,0.031830633,0.160433558,1,1
19,18,238,17.0,9.0417375,0.028856672,0.056347747,1,1
20,18,238,17.0,8.9226575,0.031632305,0.005065566,1,1
21,18,238,17.0,8.825155,0.050717527,0.0,1,1
22,18,238,17.0,9.04372,0.049614329,0.0,1,1
23,18,238,17.0,8.77663,0.039512969,0.0,1,1
24,18,238,17.0,8.5433025,0.036589543,0.0,1,1
1,19,255,4.0,8.282325,0.593887351,0.0,1,1
2,19,255,4.0,7.9947375,0.575706046,0.0,1,1
3,19,255,4.0,7.7947575,0.544244417,0.0,1,1
4,19,255,4.0,7.6636575,0.460966832,0.0,1,1
5,19,255,4.0,7.833495,0.42284025,0.0,1,1
6,19,255,4.0,8.1380925,0.482859152,0.0,1,1
7,19,255,4.0,9.177175,0.464296448,0.008353992,1,1
8,19,255,4.0,10.0287625,0.4581235,0.08252562,1,1
9,19,255,4.0,10.520055,0.411114128,0.197965138,1,1
10,19,255,4.0,10.726635,0.408836221,0.306082743,1,1
11,19,255,4.0,10.780545,0.399940082,0.381741105,1,1
12,19,255,4.0,10.7673125,0.439757217,0.413564505,1,1
13,19,255,4.0,10.39026,0.439056396,0.450832775,1,1
14,19,255,4.0,10.4322275,0.491655174,0.526700262,1,1
15,19,255,4.0,10.4623575,0.480923551,0.473581676,1,1
16,19,255,4.0,10.3356725,0.446005491,0.380858039,1,1
17,19,255,4.0,10.248145,0.4466348,0.256063777,1,1
18,19,255,4.0,10.40389,0.492356948,0.111897094,1,1
19,19,255,4.0,10.342105,0.503599647,0.022854734,1,1
20,19,255,4.0,10.150615,0.535439815,4.06e-5,1,1
21,19,255,4.0,10.19746,0.561325386,0.0,1,1
